label,title,content
0,Ameren, Ameren Corporation was created December 31 1997 by the merger of Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding formerly NYSE: CIP). It is now a holding company for several power companies and energy companies. The company is based in St.
0,Metaverse Shakespeare Company, The Metaverse Shakespeare Company (previously known as the SL Shakespeare Company ) produces Shakespearean and other plays in the Second Life virtual world. Professional and amateur talent is used for productions in a replica of the Globe Theater. The actors are special purpose avatars controlled by prerecorded and real time live input.The initial program audiences are residents of Second Life however performances are available outside Second Life.
0,Green Cross (South Korea), Green Cross [녹십자; 綠十字] (KRX: 006280) is a biopharmaceutical company headquartered in Yongin South Korea.Green Cross specializes in the development and manufacture of preventive vaccines plasma-derivatives recombinant proteins and therapeutic antibodies.Green Cross was established as Sudo Microorganism Medical Supplies Co. in 1967 and changed its name to Green Cross in 1971.
0,Wine Folly, Wine Folly is a website founded in October 2011 in Seattle Washington by Madeline Puckette and Justin Hammack. The company has built an educational wine blog that publishes articles videos and infographics to help simplify wine.
0,Khosla Ventures, Khosla Ventures is a venture capital firm focused on early stage companies in the Internet computing mobile silicon technology and clean technology sectors that was founded by Vinod Khosla.The firm is based in Menlo Park California and manages approximately $1.3 billion of investor capital as well as earlier funds funded by Khosla.
0,Bolon (company), Bolon is a Swedish design company based in Ulricehamn Sweden. Bolon is known for inventing the woven vinyl flooring. The company was founded by Nils-Erik Eklund back in 1949.
0,Camillo Eitzen & Co, Camillo Eitzen & Co (OSE: CECO) is an international shipping company that operates a total of 51 dry bulk gas tanker and tanker vessels. Including commercial managed and newbuilding ships the group has 136 vessels. The company is controlled by the Eitzen Group (53%) that it was demerged from in 2004. It is based in Oslo Norway and is listed on the Oslo Stock Exchange. Camillo Etizen & Co are also majority owners of Eitzen Chemical and Eitzen Maritime Services.
0,SIV.AG, SIV.AG is a German software company producing software for the international energy and water distribution market. It has around 290 private and public utility enterprises as customers in Germany.
0,Redflex Holdings, Redflex Holdings provides vehicle monitoring and enforcement services for government police and traffic departments globally.Redflex develops and manufactures a wide range of digital photo enforcement products and systems utilizing advanced sensor and image capture technologies. Redflex solutions include fixed multi-lane multi-sensor red light and speed enforcement solutions mobile radar and laser speed enforcement systems and infringement processing software.
0,Echolab, Echolab was a company that designs and develops video production switchers for digital media markets such as broadcasting live production and events. The company's products include standards and format conversion; live production switching; production and distribution of digital media in a variety of formats.In April 2008 Echolab presented its new Overture series of switchers as well as several optional enhancements.
0,Big Rig Records, Big Rig Records is a vanity label founded in 1994 by The Mighty Mighty Bosstones. The label started as a means for the band to release their own recordings but also ended up releasing material by other punk bands including Sum 41 as well.While the label issues new material some of their releases are releases of albums that were released on both labels.
0,Gakken, Gakken Co. Ltd. (株式会社学習研究社 Kabushiki-gaisha Gakushū Kenkyū Sha) (TYO: 9470) is a Japanese publishing company founded in 1947 by Hideto Furuoka which also produces educational toys. Their annual sales is reported at ¥ 821 billion ($10 billion US).Gakken is perhaps originally known for producing Denshi blocks and packaging them within electronic toy kits such as the Gakken EX-System as far back as the 1970s.
0,Globosat, Globosat is a multichannel cable and satellite TV service in Brazil created in 1991 after the creation of cable and satellite TV services. It has also operated a channel in Portugal TV Globo Portugal having earlier operated a similar channel GNT Portugal until 2006. Globosat belongs to Organizações Globo.In 1993 Globosat split its content generation and distribution businesses.
0,Robeks, Robeks is a smoothie franchise chain headquartered in Los Angeles California USA. Founded in 1996 by David Robertson a former investment banker by February 2013 the company had 118 franchise locations.
0,MortgageLoan, Mortgage Loan Directory and Information LLC is a publisher providing editorial content and directory information in the field of mortgages and personal finance based in New York City in the United States. It operates MortgageLoan.com a personal finance website that provides consumer mortgage news information and comparison shopping services.
0,Hospital Naval Almirante Nef, The Almirante Nef Naval Hospital (Spanish: Hospital Naval Almirante Nef) is the largest of the four hospitals in the health system of the Chilean Navy.
0,Postcard Records, Postcard Records is a Glasgow-based independent record label founded by Alan Horne in 1979 as a vehicle for Orange Juice and Josef K releases. The label's motto was The Sound of Young Scotland a parody/tribute to the Motown motto; its logo featured a cartoon cat beating a drum.
0,Alpine Data Labs, Alpine Data Labs is an advanced analytics interface working with Apache Hadoop and big data. It provides a collaborative visual environment to create and deploy analytics workflow and predictive models.
0,OK Diner, The OK Diner is a privately owned roadside restaurant chain in the United Kingdom. The restaurants have a retro 1950s-style American diner theme with popular 50s music chequerboard flooring booth seating plenty of chrome details and 50s memorabilia on the walls.
0,Artdink, Artdink (株式会社アートディンク) is a Japanese developer of video games based in Tsukishima Tokyo.By far Artdink's biggest international success was the award-winning A-Train (known in Japan as A Ressha de Ikou or Take the A-Train) strategy game released for the PC and Amiga which was published by SimCity creators Maxis. An NES version was also developed but it never saw release outside of Japan.
0,MPrest Systems, mPrest Systems is a private Israeli company producing C4I applications. It serves commercial companies as well as military and law enforcement agencies.It is the developer of the Battle Management control (BMC) system in Israel’s Iron Dome system a mobile air defense system designed to intercept all kinds of short-range rockets and of its weapons control system The BMC is informally known as Iron GlowmPrest is 50% owned by Rafael Advanced Defense Systems the prime contractor of Iron Dome.
0,CPC Corporation, CPC Corporation (台灣中油 literally Taiwan Chinese Petroleum) is a state-owned petroleum natural gas and gasoline company in Taiwan and is the core of the Taiwanese petrochemicals industry. Prior to February 9 2007 the company was known by its former full name Chinese Petroleum Corporation (中國石油) until the board approved the name change on that date with immediate effect.
0,TOU.TV, TOU.TV is a French Canadian video-on-demand website launched on January 26 2010 by the Société Radio-Canada.As of February 2014 the website will become known as ICI TOU.TV.
0,Croda International, Croda International plc is a British speciality chemicals company based at Snaith in the East Riding of Yorkshire. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.
0,Barclay Curle, Seawind Barclay Curle is a British shipbuilding company.
0,Mr.Goodliving, Mr.Goodliving Ltd. was a Finnish video game developer and a video game publisher based in Helsinki Finland. It was founded in 1999 and acquired by RealNetworks on 6 May in 2005. Mr.Goodliving was focused on games for mobile phones the iPhone and other high-end portable devices. The company was best known for the casual sports game franchise Playman Sports spanning numerous incarnations such as Playman Summer Games Playman Winter Games and Playman World Soccer.
0,Focusrite, Focusrite Audio Engineering Ltd. is a UK audio equipment manufacturer based in High Wycombe England. Focusrite designs and markets audio interfaces microphone preamps consoles analogue EQs and Channel strips and digital audio processing hardware and software. Many but not all Focusrite products are manufactured for the company in China.
0,Kagoor Networks, Kagoor Networks was a San Mateo California-based company that was acquired by Juniper Networks for US$ 65.7 million in 2005.
0,British Continental Airways, British Continental Airways was a British airline that operated between 1935 and 1936 when it merged into British Airways.British Continental Airways Limited was formed on 15 April 1935 to operate airline services from Croydon Airport to the continent. The first services were to Belgium as well as Brussels other Belgian destinations were added over the first year including Ostend and Antwerp services were also run to Lille in France and Amsterdam in the Netherlands.
0,Associated Press, The Associated Press (AP) is an American multinational nonprofit news agency headquartered in New York City. The AP is owned by its contributing newspapers radio and television stations in the United States all of which contribute stories to the AP and use material written by its staff journalists. The AP staff is represented by the Newspaper Guild union which operates under the Communication Workers union which operates under the AFL-CIO.
0,Banque de l'Union Haïtienne, Banque de l'Union haïtienne S.A. better known as BUH is a full service bank operating in Haiti. Founded in 1973 it is the first Haitian private bank.
0,Planet Fitness, Planet Fitness is an American franchise of fitness centers based in Newington New Hampshire. Each gym features exercise equipment and personal trainers to assist its members. It markets itself as a Judgment Free Zone though somewhat controversially it has rules in place to discourage bodybuilders power-lifters and grunters and in many instances have discriminated against them and banned them from their facilities. Planet Fitness opened its 500th location on December 27 2012.
0,Museum Store Company, Museum Store Company is an online retailer headquartered in Denver Colorado USA. It is an American company that sells reproductions of museum objects. The company was established as an online retailer in 1997.
0,Wellstream, Wellstream Holdings plc is a British company which designs and manufactures flexible pipeline systems for the oil and gas industry. It is listed on the London Stock Exchange and was a constituent of the FTSE 250 Index before being acquired by General Electric in February 2011.
0,Brandywine Productions, Brandywine Productions is an American film production company most known for its Alien film franchise.
0,Yanair, Yanair (Ukrainian: Авіакомпанія «ЯнЕйр») is a regional airline from Ukraine. Its headquarters are located in Kiev Ukraine.
0,Shoutoku, Shoutoku Brewery Co.LTD (招徳酒造株式会社 Shoutoku syuzou Kabushikigaisha) is a Japanese manufacturer of sake based in Fushimi Kyoto Japan. Founded in 1645 by Kimura.Executive President Shikou KIMURA.
0,Sigma Designs, Sigma Designs is an American public corporation that designs and builds high-performance system-on-a-chip semiconductor technologies for Internet-based set-top boxes DVD players/recorders high-definition televisions media processors digital media adapters portable media players and home connectivity products.
0,ExxonMobil, Exxon Mobil Corp. or ExxonMobil is an American multinational oil and gas corporation headquartered in Irving Texas United States. It is a direct descendant of John D. Rockefeller's Standard Oil company and was formed on November 30 1999 by the merger of Exxon and Mobil (formerly Standard Oil of New Jersey and Standard Oil of New York).
0,Double Vision (company), Double Vision Sdn Bhd is the largest Malaysia TV Content Provider.
0,Madras Railway, The Madras Railway (full name Madras Railway Company) played a pioneering role in developing railways in southern India and was merged in 1908 with Southern Mahratta Railway to form Madras and Southern Mahratta Railway.
0,Alberta Government Telephones, Alberta Government Telephones (AGT) (formally the Alberta Government Telephones Commission) was formed by the Liberal government of Alexander Cameron Rutherford in 1906 following the acquisitions by the government of several independent telephone companies.
0,XCubeLabs, [x]cube LABS (pronounced “ex-cube-labs”) is a mobile app development company focused in providing mobility solutions to enterprises. It is headquartered in Dallas US with presence in San Francisco and Hyderabad India.
0,Really Likable People, Really Likeable People was an idea formed by Tom DeLonge and Mark Hoppus of Blink 182. RLP was intended to be a collection of companies whose purpose was to support up and coming artists. The aforementioned companies includes Loserkids.com Atticus Clothing and Macbeth Footwear.
0,Mehta Publishing House, Mehta Publishing House is based in Pune Maharashtra specialising in Marathia language and literature publications. It was established in 1976 by Anil Mehta with a focus on Marathi translations of books from English and other Indian languages.
0,Norkom, Norkom Technologies provides financial crime and compliance software to the global financial services industry. Founded in 1998.A selection of Norkom clients include HSBC Crédit Agricole Standard Chartered Bank AXA Banco Santander ANZ and Bank of Montreal.Norkom is headquartered in Dublin Ireland with operations and offices across Continental Europe North America and Asia-Pacific.
0,ArenaNet, ArenaNet is a video game developer and subsidiary of NCsoft founded in 2000 by Mike O'Brien Patrick Wyatt and Jeff Strain and located in Bellevue Washington. They are the developers of the online role-playing game series Guild Wars.
0,Sky King Inc., Sky King Inc. was a charter airline based in Lakeland Florida. Sky King was founded by Gregg Lukenbill in July 1990 who was at the time the managing partner of the NBA's Sacramento Kings. Currently Sky King operates flights from Florida to Cuba on behalf of Customer Service Providers (CSPs). Sky King also conducts flights of deportees to undisclosed destinations on behalf of U.S. Immigration and Customs Enforcement (ICE).
0,Mercantile Bank (South Africa), Mercantile Bank Limited is a South African commercial bank founded in 1987. The bank headquartered in Sandown South Africa; provide products and services in retail banking corporate finance asset management equity brokerage and security.It is a fully owned subsidiary of Mercantile Bank Holdings Limited which in turn owned by the holding company registered in Portugal - Caixa Geral de Depósitos S.A. (CGD).It has than more than 15 branches in South Africa and employ more than 420 employees.
0,Champion Homes, Champion Homes or Champion Home Builders is a mobile and modular home manufacturing company. It is the second largest modular homebuilder in North America. The company also provides factory-built housing to the United Kingdom and western Canada.[citation needed] Champion homes has been a publicly held company for over 40 years with shares listed on the New York Stock Exchange from 1995 to 2010 .
0,Pranasys, Pranasys is a technology company that develops solutions and services based on information and communication technologies. The products offered are based on software and electronic devices of their own design. Pranasys core business is mobile commerce and especially the electronic recharge of prepaid mobile phones. Pranasys was founded in 1999 and has offices in Mexico United States and Uruguay. Additionally Pranasys develops business in Argentina Paraguay Bolivia and Venezuela.
0,M1 Limited, M1 Limited (previously known as MobileOne) is a full-service telecommunications company in Singapore. Launched in April 1997 it was Singapore's second mobile operator after SingTel.As at end-February 2013 major shareholders include Keppel Telecoms (19.55%) SPH Multimedia (13.60%) and Axiata Investments (29.01%). The remaining shares are owned by institutional and public investors.
0,Coders Trust, Coders Trust is an initiative backed by the development fund Danida or Danish International Development Agency to provide microfinance for students in emerging nations who want to upgrade their programming skills. The hope of founder Copenhagen-born entrepreneur Ferdinand Kjærulff is that these students are empowered to sell their work internationally via freelance portals such as Odesk Elance and Freelancer.
0,Day Dreamer Interactive, Day Dreamer Interactive (abbreviated DDI) is a Winnipeg-based Canadian tabletop roleplaying game publisher.
0,Toyo Seikan, Toyo Seikan Group Holdings Ltd. (東洋製罐グループホールディングス株式会社 Tōyō Seikan Gurūpu Hōrudingusu Kabushiki-gaisha) (formerly known as Toyo Seikan Kaisha Ltd.) is a Japan-based packaging container manufacturing company.
0,RentPath, For the South African media group see Primedia BroadcastingRentPath Inc. is a privately held American media company fully owned by TPG Capital. They help millions of consumers find apartments houses for rent and new homes for sale through its Internet mobile and print products.
0,Dangdang, E-commerce China Dangdang Inc. (Chinese: 当当网) known as Dangdang is a Chinese electronic commerce company founded by Peggy Yu and Li Guoqing in 1999. It is headquartered in Beijing and its main competitors are Amazon.cn (or Amazon China formerly Joyo.com) and JD.com (or Jingdong formerly 360buy.com). The competition escalated into a price war in December 2010 with each retailer marking down a wide range of items especially books.
0,Sesa Sterlite Limited, Sesa Sterlite a Vedanta Group company is one of the world's largest global diversified natural resource majors with operations across zinc-lead-silver oil & gas iron ore copper aluminium and commercial power.For more than five decades it has been engaged in exploration mining and processing of iron ore. The company was founded in 1954 as Scambi Economici SA Goa. Since then it has grown to be one among the top low-cost producers of iron ore in the world.
0,Star Air (Indonesia), Star Air is an airline based in Indonesia. The airline was established in 2000 a period in which private companies have sprung up in Indonesia after the government announced the deregulation of airlines in Indonesia. However like some other Indonesian private airline (a total of 11 carriers) the airline licenses revoked by the government in 2008 due to inactivity (ceased operations).
0,CORPAC, The Peruvian Corporation of Commercial Airports and Aviation Inc. (CORPAC) (Spanish: Corporación Peruana de Aeropuertos y Aviación Comercial) operates various airports in Peru. It was founded by law (Decreto Legislativo No. 99 - Ley de CORPAC S.A) in June 1943.
0,Israel Land Development Company, The Israel Land Development Company (ILDC) is one of Israel's largest conglomerates with fields including real estate construction energy and hotels. It was acquired in 1987 by Yaakov Nimrodi.
0,MyOutdoorTV.com, MyOutdoorTV.com is an internet television channel that provides streaming TV shows and product demonstrations to hunters shooting sports enthusiasts anglers campers boaters and hikers. When launched it was the largest online video network catering for outdoor programming.MyOutdoorTV.com carries over 200 outdoor-related cable shows that air on networks such as Versus The Outdoor Channel and The Sportsman Channel via the online video channel.
0,Samchuly, Samchuly is a leading bicycle company and is the largest bicycle manufacturer and retailer in Korea. Headquartered in Seoul South Korea Samchuly currently operates a manufacturing facility in Uiwang with a production capacity of 300000 bicycles per year.
0,Kotak Securities, Kotak Securities Limited a subsidiary of Kotak Mahindra Bank is the stock broking and distribution arm of the Kotak Mahindra Group. One of the oldest broking houses in India its operations include stock broking and distribution of various financial products. It is a corporate member of both the Bombay Stock Exchange and the National Stock Exchange of India. Kotak Securities was founded in 1994 and is headquartered in Mumbai India.
0,Rinehart & Company, Rinehart & Company an American publishing company was the successor to Farrar & Rinehart Inc. In 1946 following the departure of John C. Farrar the company was renamed Rinehart & Company. The brothers Stanley M. Rinehart and Frederick R. Rinehart continued to operate the company until its merger with Henry Holt and Company and the John C. Winston Company in 1960 to form Holt Rinehart and Winston.
0,Hants and Sussex Aviation, Hants and Sussex Aviation Ltd was an aircraft manufacturer based at Portsmouth Airport Hampshire England. It is still in business in the aircraft components industry.
0,Passenger Rail Agency of South Africa, The Passenger Rail Agency of South Africa (PRASA) is a South African state owned enterprise responsible for most passenger rail services in the country. It consists of four branches: Metrorail which operates commuter rail services in urban areas; Shosholoza Meyl which operates regional and inter-city rail services; Autopax which operates regional and inter-city coach services; and Intersite which manages the property owned by PRASA.
0,Friedrich Hofmeister Musikverlag, Friedrich Hofmeister Musikverlag (abbreviated to Hofmeister) is a publisher of classical music founded by Friedrich Hofmeister in Leipzig in 1807. Early listings included composers Ludwig van Beethoven Frédéric Chopin and Franz Liszt. Hofmeister was the first to publish Mahler's Second Symphony. Pedagogical works such as a Violinenschule of Hubert Ries (1841) are still in use. The company sells sheet music internationally including Asia and Amerika.
0,Gainax, Gainax Company Limited (株式会社ガイナックス Kabushiki-gaisha Gainakkusu) is a Japanese anime studio famous for productions such as Gunbuster The Wings of Honneamise Nadia: The Secret of Blue Water Neon Genesis Evangelion Magical Shopping Arcade Abenobashi FLCL Gurren Lagann and Panty & Stocking with Garterbelt which have gone on to critical acclaim and commercial success as well as for their association with award-winning anime director and studio co-founder Hideaki Anno.
0,Alleanza Assicurazioni, Alleanza Assicurazioni (BIT: AL) is an Italian insurance company based in Milan. It was founded in Genoa in 1898. The company is particularly active in the life insurance sector. Alleanza was controlled with a stake of around 50.4% by Assicurazioni Generali between 1933 and June 2009 when Generali announced plans to acquire the remainder of its shares. The merger was completed on 1 October 2009.
0,Denholm & McKay, Denholm & McKay Co. was a department store located in Worcester Massachusetts. The store was a dominant retailer in Central Massachusetts. The store was popularly known as Denholm's or the Boston Store. The company was founded by William Alexander Denholm in 1870. Denholm purchased the dry-goods business of Finley Lawson & Kennedy located on the corner of Main and Mechanic street in Worcester. He partnered with Bostonian William C. McKay which proved to be very successful.
0,C&M Airways, C&M Airways is a cargo airline based in El Paso Texas USA. It was established in 1983 and operates charter services for the automotive companies within the USA and to Mexico. Its main base is El Paso International Airport.
0,G&L Clothing, G&L Clothing is a privately held clothing store based in Des Moines Iowa. It was founded in 1917 by Lou Garsh and Meyer Levine. The company is privately owned by the Marcovis family who maintain daily operations of the business. G&L Clothing sells work and casual men's clothing specializing in big and tall sizes. They also stock work boots and other footwear.
0,Sittercity.com, Sittercity.com is an American website connecting families individuals and corporate employees with local in-home care. Types of caregivers that can be found on Sittercity.com include babysitters nanny pet sitters dog walkers senior care providers housekeepers and tutors. The site currently has over one million registered caregivers.
0,Bavaria Film, Bavaria Film in Munich Germany is one of Europe's largest film production companies with some 30 subsidiaries.
0,Mediaset, Mediaset S.p.A. known as Gruppo Mediaset in Italian is an Italian-based mass media company which is the largest commercial broadcaster in the country. Founded in the 1970s by former Italian prime minister Silvio Berlusconi and still controlled today with a 38.6% stake by his family holding company Fininvest the group competes primarily against the public broadcaster and market leader RAI La7 and 21st Century Fox's Sky Italia.Mediaset's headquarters are in Milan Lombardy.
0,Revol Wireless, Revol Wireless was a regional wireless carrier based in Independence Ohio USA that offered flat-rate unlimited talk-time wireless service in some Midwest US markets. The company ceased business January 16 2014 and sold its wireless licenses to Sprint Corporation.
0,National Amusements, National Amusements Inc. is an American privately owned theater company based in Dedham Massachusetts United States. The company was founded in 1936 as the Northeast Theatre Corporation by Michael Redstone.National Amusements is now owned by Michael Redstone's son Sumner Redstone who holds 80% of the company and Sumner's daughter Shari Redstone who owns the remaining 20%.
0,Palmchip, Palmchip Corporation is a technology company headquartered in Temecula California. The company is best known for its system on chip platforms although it also designs licenses and sells software.
0,Rooster Teeth filmography, This is a list of productions produced and/or distributed by the Austin-based productions studio Rooster Teeth.
0,Risk International, Risk International founded in 1986 is a risk management consulting firm. It services clients in the areas of outsourced risk management claims recovery insurance archaeology loss prevention and mitigation. Headquartered in Fairlawn Ohio the company also has offices in Charlotte North Carolina London and Singapore.
0,Forward Music Group, Forward Music Group is a Canadian independent record label based in Halifax Nova Scotia and distributed nationally by FAB.
0,Able Label, The Able Label was an independent record label from Brisbane Australia.Grant McLennan & Robert Forster of The Go-Betweens released their first two singles 'Lee Remick' & 'People Say' on it in 1978 and 1979. Later it allowed other Brisbane groups The Numbers (later to become The Riptides) The Apartments and the Four Gods to press their own records using the Able Label logo.
0,BHAVINI, The Bharatiya Nabhikiya Vidyut Nigam Ltd. (BHAVINI) is a government-owned corporation of India established in 2004 in Chennai. One of the public sector undertakings it is wholly owned by the Union Government and is responsible for the construction commissioning and operation of all Stage II fast breeder reactors envisaged as part of the country’s three stage nuclear power programme.BHAVINI is administered by the Department of Atomic Energy (DAE).
0,Lujo Records, Lujo Records is a United States independent record label that was founded in 2001 by Erik Aucoin who was a student at Nicholls State University in Thibodaux Louisiana at the time. In 2004 Lujo Records relocated to Washington DC and Jocelyn Toews bought 50% of the label. In 2006 Aucoin and Toews married and in 2008 they relocated the label to Palo Alto California.
0,Visotek, Visotek Inc. is an American company located in Livonia Michigan that designs develops and manufactures individual fiber coupled diode laser modules complete turnkey systems and peripheral components used in industrial military medical and research applications. Visotek also provides high volume laser processing services and is a Tier Two supplier to the automotive industry manufacturing up to a half million pieces annually.
0,Boundary Bay Brewing Company, The Boundary Bay Brewing Company also known as the Boundary Bay Brewery & Bistro is a microbrewery and brewpub in Bellingham Washington. It was founded in 1995 by Ed Bennett and has won numerous awards in national and international beer competitions. It is named after Boundary Bay a bay north of Bellingham that is partially Canadian and partially American territory.
0,Tekfen Construction and Installation Co. Inc., Tekfen is a Turkish conglomerate based in Istanbul. The name Tekfen is a combination of Teknoloji (Technology) and Fen (Arabic:فنّ) (Turkish meaning: science). Tekfen has many subsidiaries engaged in a diverse range of construction activities including power generation airports petroleum and roadways. Tekfen primarily operates in Turkey the Commonwealth of Independent States Middle East North Africa and Europe.
0,FxPro, FxPro is a Cypriot-UK online broker providing contracts for difference (CFD) on foreign exchange shares futures and precious metals to retail traders. FxPro has operations in London and Cyprus and is regulated by a number of regulatory authorities.
0,Marshall & Ilsley, Marshall & Ilsley Corporation (also known as M&I Bank) was a US bank and diversified financial services corporation headquartered in Milwaukee Wisconsin that was purchased by Bank of Montreal in 2010. The bank was founded in 1847 and by 2008 the bank had assets of $63.5 billion and over 250 branches. After the acquisition Bank of Montreal combined the Marshall & Ilsley Corporation operations into its existing US subsidiary BMO Harris Bank.
0,Saga Studios, Saga Studios was a film production company in Denmark. They produced many films up to the late 60s many of their films starred Danish comedian Dirch Passer.
0,Darmont, Darmont was a French automobile manufacturer based at Courbevoie in the Paris conurbation and active between 1919 and 1939.
0,Virginia Bridge & Iron Co., The Virginia Bridge & Iron Co. also known as Virginia Bridge Company was a bridge company.Several of its works are listed on the U.S. National Register of Historic Places.Works include (with variations in attribution):AR 289 Bridge Over English Creek AR289 over English Creek Mammoth Spring Arkansas (Virginia Bridge & Iron Co.) NRHP-listed Clarkton Bridge VA 620 over the Staunton R Nathalie Virginia (Virginia Bridge & Iron Co.) NRHP-listedFairchild's Creek Bridge Cty Rd.
0,Marfrig, Marfrig is the third biggest Brazilian food processing company after JBS and Brasil Foods.
0,Daniel Kern Manufacture d'Orgues, The Daniel Kern Manufacture d'Orgues (formerly Alfred Kern & Fils) is an organ builder based in Strasbourg France.New Kern organs have been installed in many churches in France and other countries. In addition Kern undertakes restoration work on historic organs.
0,Comlux Kazakhstan, Comlux Kazakhstan is an airline based in Almaty Kazakhstan. It is a fully owned subsidiary of Comlux and operate charter and business flight out of its base of Almaty.
0,Rentech, Rentech Inc. (stands for Renewable Energy Technology) is a Los Angeles California based United States company that owns and operates wood fiber processing and nitrogen fertilizer manufacturing businesses. It provides wood chipping and wood pellet services through a subsidiary Fulghum Fibres Inc. and sells nitrogen fertilizer through Rentech Nitrogen Partners L.P.
0,Star Bonifacio Echeverria, Star Bonifacio Echeverria S.A. was a manufacturer of small arms (principally handguns and sub-machineguns) in the Basque region of Spain from about 1905 until 1997.
0,Sendai Television, Sendai Television Inc. (株式会社仙台放送 OX) is a TV station affiliated with Fuji News Network (FNN) and Fuji Network System (FNS) serving in Miyagi Prefecture Japan headquartered in Sendai. It was established on October 1 1962.
